Car_type,Kms_driven,No_of_owners,Car_name,Car_model,Model_Year,Car_price,Fuel_type,Insurance_type,Transmission,Engine,Max_power,Color,Seating_capacity,Mileage
Hatchback,112711,1,Hyundai,Hyundai i10,2013,310000,Petrol,Comprehensive,Manual,1197,78.9,Red,5,20.36
SUV,53000,1,Toyota,Toyota Fortuner,2020,3900000,Diesel,Comprehensive,Automatic,2755,174.5,Brown,7,15.04
Hatchback,65895,2,Maruti,Maruti Celerio,2016,437000,Petrol,Comprehensive,Automatic,998,65.71,Red,5,26.68
SUV,15625,1,Mahindra,Mahindra XUV300,2022,1026000,Petrol,Comprehensive,Automatic,1197,108.6,White,5,17.0
Hatchback,107595,1,Maruti,Maruti Swift,2015,560000,Diesel,Third Party insurance,Manual,1248,74.0,Grey,5,25.2
Hatchback,23838,1,Maruti,Maruti Ignis,2017,532000,Petrol,Comprehensive,Manual,1197,81.8,Red,5,20.89
Hatchback,28975,1,Maruti,Maruti Alto K10,2015,323000,Petrol,Third Party,Manual,998,65.71,Red,5,24.39
SUV,30742,1,Honda,Honda WR-V,2018,770000,Petrol,Third Party insurance,Manual,1199,88.7,Red,5,17.5
Hatchback,10363,1,Maruti,Maruti S-Presso,2022,492000,Petrol,Comprehensive,Manual,998,65.71,Silver,5,21.7
Sedan,100000,1,Honda,Honda City,2015,650000,Petrol,Third Party insurance,Manual,1497,117.3,Others,5,17.4
Sedan,75555,1,Honda,Honda City,2016,633000,Petrol,Comprehensive,Manual,1497,117.3,Silver,5,17.8
SUV,60929,2,Hyundai,Hyundai Creta,2018,982000,Petrol,Third Party insurance,Manual,1591,121.3,Silver,5,15.8
SUV,78000,2,BMW,BMW X5,2009,1350000,Diesel,Comprehensive,Automatic,2993,245.0,White,5,11.7
SUV,120000,1,Maruti,Maruti Vitara Brezza,2017,900000,Diesel,Third Party insurance,Manual,1248,88.5,Others,5,24.3
Sedan,143185,1,Honda,Honda Amaze,2014,370000,Diesel,Comprehensive,Manual,1498,98.6,Silver,5,25.8
Sedan,115434,1,Maruti,Maruti Ciaz,2017,620000,Petrol,Comprehensive,Manual,1373,91.1,Blue,5,20.73
Hatchback,43000,1,Maruti,Maruti Ignis,2018,480000,Petrol,Third Party insurance,Manual,1197,81.8,Blue,5,20.89
Hatchback,63309,1,Honda,Honda Brio,2015,430000,Petrol,Third Party insurance,Manual,1198,86.8,Red,5,18.5
Hatchback,150000,1,Maruti,Maruti Swift,2015,500000,Diesel,Third Party insurance,Manual,1248,74.0,Others,5,25.2
Sedan,53000,1,BMW,BMW 7 Series,2019,7600000,Diesel,Comprehensive,Automatic,2993,258.0,White,5,16.46
Hatchback,39386,1,Maruti,Maruti Baleno,2019,790000,Petrol,Third Party insurance,Manual,1197,81.8,Blue,5,21.01
Sedan,42000,1,BMW,BMW 6 Series,2018,5200000,Diesel,Comprehensive,Automatic,2993,261.4,White,4,17.09
MUV,29257,1,Renault,Renault Triber,2021,776000,Petrol,Comprehensive,Automatic,999,71.01,Blue,7,18.2
Hatchback,61829,1,Maruti,Maruti Baleno,2017,702000,Petrol,Comprehensive,Automatic,1197,83.1,Silver,5,21.4
Hatchback,83901,1,Maruti,Maruti Alto K10,2014,290000,Petrol,Comprehensive,Manual,998,67.05,Grey,5,23.95
Hatchback,33295,1,Maruti,Maruti Celerio,2014,383000,Petrol,Third Party insurance,Manual,998,65.71,Silver,5,25.24
Hatchback,33610,1,Maruti,Maruti Celerio,2015,411000,Petrol,Comprehensive,Manual,998,65.71,Blue,5,25.24
Sedan,95600,1,Maruti,Maruti Ciaz,2014,615000,Diesel,Comprehensive,Manual,1248,88.5,Grey,5,26.21
Hatchback,20960,1,Tata,Tata Tiago,2018,515000,Petrol,Comprehensive,Manual,1199,84.0,Silver,5,23.84
Sedan,66000,1,BMW,BMW 3 Series,2016,2575000,Diesel,Comprehensive,Automatic,1995,187.74,Blue,5,20.37
Hatchback,85105,2,Hyundai,Hyundai i20,2015,507000,Petrol,Third Party insurance,Manual,1197,81.83,White,5,18.6
Hatchback,44519,2,Hyundai,Hyundai EON,2016,322000,Petrol,Third Party,Manual,814,55.2,Blue,5,21.1
Hatchback,54024,1,Maruti,Maruti Baleno,2017,575000,Petrol,Comprehensive,Manual,1197,83.1,Grey,5,21.4
Hatchback,20027,1,Maruti,Maruti Baleno,2020,850000,Petrol,Comprehensive,Manual,1197,81.8,Red,5,21.01
Sedan,44000,1,Audi,Audi A6,2019,3700000,Diesel,Comprehensive,Automatic,1968,187.74,Blue,5,18.53
SUV,58000,1,Audi,Audi Q3,2014,1800000,Diesel,Comprehensive,Automatic,1968,174.33,Black,5,15.73
Sedan,67905,1,Honda,Honda Amaze,2013,425000,Diesel,Comprehensive,Manual,1498,98.6,Red,5,25.8
Hatchback,62604,1,Maruti,Maruti Baleno,2017,650000,Petrol,Third Party insurance,Manual,1197,81.8,Grey,5,21.01
MUV,120000,1,Toyota,Toyota Innova,2009,750000,Diesel,Third Party insurance,Manual,2494,100.60464,Others,7,12.8
Sedan,105781,1,Honda,Honda Amaze,2014,450000,Diesel,Comprehensive,Manual,1498,98.6,Grey,5,25.8
Sedan,68724,1,Maruti,Maruti Ciaz,2017,720000,Petrol,Third Party insurance,Manual,1373,91.1,Red,5,20.73
Hatchback,67000,1,Maruti,Maruti Celerio,2014,425000,Petrol,Comprehensive,Automatic,998,67.04,Grey,5,23.1
Hatchback,110273,2,Hyundai,Hyundai i10,2010,235000,Petrol,Comprehensive,Manual,1197,78.9,Red,5,20.36
Hatchback,65628,2,Maruti,Maruti Celerio,2016,437000,Petrol,Comprehensive,Automatic,998,67.04,Red,5,23.1
Hatchback,106075,1,Volkswagen,Volkswagen Polo,2014,409999,Petrol,Third Party insurance,Manual,1198,74.0,Grey,5,16.47
Hatchback,6023,1,Maruti,Maruti Ignis,2022,731000,Petrol,Comprehensive,Manual,1197,81.8,Blue,5,20.89
Hatchback,38999,2,Tata,Tata Tiago,2018,501999,Petrol,Comprehensive,Manual,1199,84.0,Red,5,23.84
MUV,105000,1,Toyota,Toyota Innova Crysta,2018,2050000,Diesel,Comprehensive,Manual,2393,147.51,Silver,7,13.68
SUV,7811,1,Tata,Tata New Safari,2022,1963000,Diesel,Comprehensive,Automatic,1956,167.67,Black,7,14.08
Hatchback,58747,2,Maruti,Maruti Alto K10,2011,222000,Petrol,Comprehensive,Manual,998,67.1,COPPER,5,20.92
SUV,34965,1,Tata,Tata Harrier,2019,1497000,Diesel,Comprehensive,Manual,1956,138.1,White,5,17.0
SUV,106360,2,Ford,Ford Ecosport,2015,529000,Diesel,Comprehensive,Manual,1498,89.84,Blue,5,22.7
Hatchback,162049,2,Maruti,Maruti Ritz,2010,210000,Petrol,Comprehensive,Manual,1197,85.8,Grey,5,18.5
SUV,30000,1,Mercedes-Benz,Mercedes-Benz GLE,2020,7450000,Diesel,Comprehensive,Automatic,1950,241.38,Blue,5,18.5
SUV,26000,1,Toyota,Toyota Urban cruiser,2021,975000,Petrol,Comprehensive,Manual,1462,103.26,Blue,5,17.03
SUV,25000,1,Kia,Kia Seltos,2020,1450000,Petrol,Comprehensive,Automatic,1497,113.43,White,5,17.03
SUV,35000,1,Mercedes-Benz,Mercedes-Benz GLC,2021,6200000,Diesel,Comprehensive,Automatic,1950,194.0,Blue,5,17.03
Hatchback,57000,1,Maruti,Maruti Swift,2020,595000,Petrol,Comprehensive,Manual,1197,81.8,Grey,5,21.21
SUV,49000,1,Hyundai,Hyundai Creta,2017,767000,Petrol,Third Party insurance,Manual,1591,121.3,White,5,15.29
Hatchback,30000,1,Hyundai,Hyundai i20,2022,825000,Petrol,Comprehensive,Manual,1197,81.8,Red,5,21.0
Hatchback,120000,3,Hyundai,Hyundai Santro,2002,45000,Petrol,Third Party insurance,Manual,1086,81.8,Others,5,21.0
Hatchback,40000,3,Hyundai,Hyundai i10,2014,335000,Petrol,Third Party insurance,Automatic,1197,78.9,Others,5,16.95
Hatchback,53250,1,Honda,Honda Jazz,2015,558000,Petrol,Comprehensive,Automatic,1199,88.7,Orange,5,19.0
Hatchback,8848,1,Tata,Tata Tiago,2022,649000,Petrol,Third Party,Manual,1199,84.82,Black,5,19.01
SUV,3000,1,Tata,Tata Harrier,2022,2250000,Diesel,Comprehensive,Automatic,1956,167.67,Black,5,14.6
Sedan,34628,1,Skoda,Skoda Rapid,2021,1110000,Petrol,Third Party,Manual,999,108.62,Red,5,18.97
Hatchback,8579,1,Maruti,Maruti Ignis,2022,672000,Petrol,Third Party,Manual,1197,81.8,Silver,5,20.89
MUV,17000,1,Renault,Renault Triber,2022,675000,Petrol,Comprehensive,Manual,999,71.01,White,7,20.0
Sedan,40021,1,Honda,Honda City,2017,795000,Petrol,Third Party insurance,Manual,1497,117.3,Brown,5,17.8
SUV,52000,1,Mercedes-Benz,Mercedes-Benz GLS,2021,11299999,Diesel,Comprehensive,Automatic,2925,325.86,White,7,17.8
Hatchback,46946,2,Hyundai,Hyundai i20,2017,587000,Petrol,Comprehensive,Manual,1197,81.83,Red,5,18.6
Hatchback,30772,1,Honda,Honda Jazz,2019,807000,Petrol,Comprehensive,Automatic,1199,88.7,Silver,5,18.2
Hatchback,74008,1,Ford,Ford Figo,2012,260000,Diesel,Comprehensive,Manual,1399,68.0,Red,5,20.0
Sedan,31000,1,Maruti,Maruti Swift Dzire,2017,760000,Diesel,Comprehensive,Manual,1248,74.02,Blue,5,28.4
SUV,20000,1,Mahindra,Mahindra Bolero,2022,1070000,Diesel,Third Party insurance,Manual,1493,74.96,Others,7,16.0
Hatchback,20000,2,Maruti,Maruti Baleno,2020,650000,Petrol,Third Party insurance,Manual,1197,81.8,Others,5,21.01
Hatchback,31137,1,Maruti,Maruti S-Presso,2020,520000,Petrol,Third Party insurance,Automatic,998,67.05,Orange,5,21.7
Sedan,90000,1,Maruti,Maruti Swift Dzire,2011,350000,Diesel,Third Party insurance,Manual,1248,73.9,Others,5,19.3
SUV,77000,1,Hyundai,Hyundai Creta,2015,875000,Petrol,Comprehensive,Manual,1591,121.3,White,5,15.8
Sedan,16000,1,BMW,BMW 3 Series GT,2019,4350000,Diesel,Comprehensive,Automatic,1995,188.0,White,5,21.76
SUV,23000,1,Mahindra,Mahindra XUV500,2018,1450000,Diesel,Comprehensive,Automatic,2179,140.0,Red,7,16.0
SUV,9000,1,Mahindra,Mahindra Thar,2022,1725000,Petrol,Comprehensive,Manual,1997,150.0,Black,4,15.2
Hatchback,28733,1,Datsun,Datsun RediGO,2018,302000,Petrol,Third Party insurance,Manual,799,53.64,White,5,22.7
Sedan,61828,1,Hyundai,Hyundai Verna,2018,1060000,Diesel,Zero Dep,Automatic,1582,126.2,White,5,22.0
MUV,150000,2,Toyota,Toyota Innova,2007,600000,Diesel,Third Party insurance,Manual,2494,100.60464,Others,8,12.8
Sedan,60431,1,Tata,Tata Tigor,2022,722000,Petrol,Comprehensive,Manual,1199,84.82,Maroon,5,19.28
Hatchback,53269,1,Maruti,Maruti Celerio X,2018,463000,Petrol,Comprehensive,Manual,998,67.0,Blue,5,21.63
SUV,38000,1,MG,MG Hector,2021,1770000,Petrol,Comprehensive,Automatic,1451,141.0,White,5,21.63
Sedan,37778,2,Honda,Honda Amaze,2019,627000,Petrol,Third Party insurance,Manual,1199,88.76,Silver,5,19.5
Hatchback,54024,1,Maruti,Maruti Baleno,2017,575000,Petrol,Third Party insurance,Manual,1197,83.1,Grey,5,21.4
SUV,85941,2,Tata,Tata Nexon,2018,658000,Petrol,Third Party insurance,Manual,1198,108.5,Silver,5,17.0
Hatchback,89329,1,Maruti,Maruti Celerio X,2018,476999,Petrol,Comprehensive,Automatic,998,67.0,Orange,5,21.63
Hatchback,40000,2,Tata,Tata Tiago,2019,500000,Petrol,Third Party insurance,Manual,1199,84.0,Others,5,23.84
Hatchback,17000,1,Maruti,Maruti Swift,2017,650000,Petrol,Comprehensive,Manual,1197,81.8,White,5,21.21
Hatchback,83887,1,Maruti,Maruti Ignis,2017,455000,Petrol,Comprehensive,Manual,1197,81.8,Blue,5,20.89
Hatchback,150000,1,Hyundai,Hyundai i20 Active,2015,475000,Diesel,Third Party insurance,Manual,1396,88.73,Others,5,21.19
MUV,39000,1,Toyota,Toyota Innova Crysta,2021,2800000,Diesel,Comprehensive,Automatic,2393,148.0,White,7,12.0
Sedan,23000,1,Hyundai,Hyundai Verna,2018,975000,Petrol,Comprehensive,Automatic,1591,121.3,Grey,5,17.0
Sedan,80000,1,Hyundai,Hyundai Verna,2017,750000,Petrol,Third Party insurance,Manual,1591,121.3,White,5,17.0
Hatchback,34000,1,Maruti,Maruti Celerio,2016,484999,Petrol,Comprehensive,Automatic,998,67.04,Golden,5,23.1
Hatchback,29973,1,Maruti,Maruti Celerio,2017,459999,Petrol,Comprehensive,Manual,998,67.04,Blue,5,23.1
Sedan,30000,1,Honda,Honda City,2021,1265000,Petrol,Third Party insurance,Manual,1498,119.35,Others,5,18.6
Hatchback,80805,2,Hyundai,Hyundai i20 Active,2016,567000,Diesel,Comprehensive,Manual,1396,88.73,White,5,21.19
Hatchback,26235,1,Tata,Tata Tiago,2020,619000,Petrol,Comprehensive,Manual,1199,83.83,Silver,5,23.84
Sedan,95963,0,Honda,Honda City,2017,630000,Petrol,Third Party insurance,Manual,1497,117.3,White,5,17.8
SUV,83294,1,Hyundai,Hyundai Creta,2018,835000,Petrol,Comprehensive,Manual,1591,121.3,Red,5,15.8
SUV,17963,2,MG,MG Hector,2021,1703000,Diesel,Third Party,Manual,1956,167.68,White,5,17.41
Hatchback,102696,1,Maruti,Maruti Baleno,2019,635000,Petrol,Comprehensive,Manual,1197,83.1,Grey,5,21.4
Hatchback,57206,2,Hyundai,Hyundai i20,2019,635000,Diesel,Comprehensive,Manual,1396,88.76,Red,5,22.54
Hatchback,120000,2,Ford,Ford Figo,2013,300000,Diesel,Third Party insurance,Manual,1399,68.05,Others,5,20.0
Hatchback,81829,1,Hyundai,Hyundai i20,2017,657000,Petrol,Comprehensive,Manual,1197,81.83,Red,5,18.6
Hatchback,54395,2,Maruti,Maruti Celerio,2014,390000,Petrol,Third Party,Manual,998,65.71,Red,5,25.24
Sedan,50000,1,Tata,Tata Tigor,2019,620000,Diesel,Third Party insurance,Manual,1047,69.0,Others,5,24.7
Sedan,70000,2,Volkswagen,Volkswagen Ameo,2017,465000,Petrol,Third Party insurance,Manual,1198,73.75,Others,5,17.0
Hatchback,36000,1,Hyundai,Hyundai i20,2015,590000,Petrol,Comprehensive,Manual,1197,81.83,White,5,18.6
SUV,125000,2,Isuzu,Isuzu MU 7,2016,950000,Diesel,Comprehensive,Manual,2999,161.0,Silver,7,12.08
Sedan,75000,2,Mercedes-Benz,Mercedes-Benz CLA,2018,2150000,Diesel,Comprehensive,Automatic,2143,136.0,Red,5,17.9
Sedan,45007,1,Mercedes-Benz,Mercedes-Benz E-Class,2018,4600000,Diesel,Comprehensive,Automatic,1950,191.76,White,5,16.1
Sedan,49617,1,Honda,Honda Amaze,2016,490000,Petrol,Comprehensive,Manual,1199,88.76,TITANIUM,5,19.5
Sedan,57782,1,Toyota,Toyota Etios,2016,620000,Petrol,Comprehensive,Manual,1496,88.73,Red,5,16.78
Sedan,38000,1,Skoda,Skoda Superb,2015,1950000,Diesel,Comprehensive,Automatic,1968,138.03,White,5,17.2
Sedan,110000,3,BMW,BMW 5 Series,2008,680000,Diesel,Third Party insurance,Automatic,2993,231.7852,Others,5,11.5
Hatchback,22066,2,Honda,Honda Jazz,2018,594000,Petrol,Third Party,Manual,1199,88.7,Brown,5,18.7
Hatchback,65707,1,Hyundai,Hyundai i20,2016,536000,Petrol,Comprehensive,Manual,1197,81.83,White,5,18.6
Hatchback,89488,1,Maruti,Maruti Celerio,2015,365000,Petrol,Third Party insurance,Manual,998,67.04,Silver,5,23.1
Hatchback,88663,2,Maruti,Maruti Ignis,2017,544000,Petrol,Comprehensive,Automatic,1197,81.8,Blue,5,20.89
Hatchback,31679,1,Tata,Tata Tiago,2020,566000,Petrol,Comprehensive,Manual,1199,83.83,Silver,5,23.84
Hatchback,68178,1,Hyundai,Hyundai Grand i10,2013,420000,Petrol,Comprehensive,Manual,1197,82.0,Blue,5,18.9
Sedan,61279,2,Honda,Honda City,2017,748000,Petrol,Comprehensive,Manual,1497,117.3,Red,5,17.8
Sedan,8963,1,Honda,Honda Amaze,2021,880000,Petrol,Comprehensive,Manual,1199,88.76,Silver,5,18.6
Sedan,80281,1,Maruti,Maruti Swift Dzire,2017,616000,Petrol,Third Party insurance,Manual,1197,81.8,Silver,5,21.21
SUV,50580,1,MG,MG Hector,2020,1554000,Petrol,Third Party,Manual,1451,141.0,White,5,14.16
Hatchback,21000,1,Mini,Mini Cooper,2014,2100000,Petrol,Comprehensive,Automatic,1598,98.0,Blue,5,19.23
SUV,55000,1,Audi,Audi Q3,2016,2175000,Diesel,Comprehensive,Automatic,1968,174.33,Blue,5,15.73
SUV,70000,2,Mercedes-Benz,Mercedes-Benz GLE,2018,4200000,Diesel,Third Party insurance,Automatic,2143,201.15,Silver,5,17.9
SUV,58000,1,Audi,Audi Q5,2019,4300000,Petrol,Comprehensive,Automatic,1984,248.0,Blue,5,8.5
Sedan,65224,1,Volkswagen,Volkswagen Vento,2018,725000,Petrol,Comprehensive,Manual,1598,103.2,Grey,5,16.09
Hatchback,120000,1,Maruti,Maruti Ritz,2010,275000,Petrol,Third Party insurance,Manual,1197,85.8,Others,5,21.1
SUV,42001,1,BMW,BMW X5,2018,5750000,Diesel,Comprehensive,Automatic,2993,258.0,Brown,5,15.97
Sedan,30316,1,Maruti,Maruti Swift Dzire,2017,635000,Petrol,Comprehensive,Manual,1197,85.8,Blue,5,19.0
Sedan,64000,3,Mercedes-Benz,Mercedes-Benz E-Class,2013,1800000,Diesel,Comprehensive,Automatic,2143,204.0,Brown,5,13.0
Sedan,40000,1,Volvo,Volvo S60,2015,1900000,Diesel,Comprehensive,Automatic,1984,181.0,Silver,5,9.0
Hatchback,100526,1,Maruti,Maruti Swift,2017,509999,Petrol,Comprehensive,Manual,1197,88.5,Silver,5,22.38
Hatchback,17273,1,Maruti,Maruti Swift,2021,817000,Petrol,Comprehensive,Manual,1197,88.5,Silver,5,22.38
SUV,107737,1,Maruti,Maruti SX4 S Cross,2018,850000,Diesel,Third Party insurance,Manual,1248,88.5,White,5,23.65
SUV,111586,2,Ford,Ford Ecosport,2016,539000,Petrol,Comprehensive,Manual,1499,110.4,Orange,5,15.85
Hatchback,73369,2,Maruti,Maruti Baleno,2017,538000,Petrol,Third Party,Automatic,1197,83.1,Silver,5,21.4
Hatchback,63697,1,Maruti,Maruti Alto,2012,235000,Petrol,Comprehensive,Manual,796,46.3,Red,5,19.7
Hatchback,45224,1,Hyundai,Hyundai i20,2018,666000,Petrol,Comprehensive,Manual,1197,81.83,Blue,5,18.6
Hatchback,110701,2,Ford,Ford Figo,2010,210000,Diesel,Comprehensive,Manual,1399,68.0,CHILL,5,20.0
Hatchback,49124,2,Maruti,Maruti Wagon R,2016,413000,Petrol,Third Party,Manual,998,67.04,Silver,5,20.51
Sedan,96861,1,Maruti,Maruti Swift Dzire,2016,505000,Petrol,Comprehensive,Manual,1197,88.5,Red,5,22.41
Hatchback,64636,2,Hyundai,Hyundai i10,2009,300000,Petrol,Comprehensive,Manual,1197,78.9,Blue,5,20.36
Sedan,134000,1,Audi,Audi A6,2014,890000,Diesel,Third Party insurance,Automatic,1968,174.33,White,5,17.68
Hatchback,20000,1,Maruti,Maruti 800,2002,140000,Petrol,Comprehensive,Manual,796,37.0,White,4,16.1
SUV,14118,1,Renault,Renault Kiger,2022,810000,Petrol,Comprehensive,Automatic,999,71.01,Brown,5,19.03
SUV,1200,1,Jeep,Jeep Meridian,2023,4100000,Diesel,Comprehensive,Automatic,1956,172.35,Black,7,19.03
SUV,36000,2,Ford,Ford Ecosport,2018,725000,Petrol,Comprehensive,Automatic,1497,121.36,Grey,5,14.8
SUV,10000,1,Skoda,Skoda Kushaq,2022,1755000,Petrol,Comprehensive,Automatic,999,113.98,White,5,17.2
SUV,50000,1,Kia,Kia Seltos,2019,1050000,Petrol,Third Party insurance,Manual,1497,113.43,White,5,16.8
SUV,30000,1,Toyota,Toyota Urban cruiser,2021,1000000,Petrol,Third Party insurance,Manual,1462,103.26,Brown,5,17.03
Sedan,29000,1,Skoda,Skoda Rapid,2018,850000,Petrol,Third Party insurance,Automatic,1598,103.2,Grey,5,14.84
Hatchback,55940,2,Hyundai,Hyundai i20,2014,508000,Petrol,Third Party insurance,Manual,1197,81.83,Silver,5,18.6
Sedan,115915,2,Honda,Honda City,2018,851000,Diesel,Third Party,Manual,1498,97.9,Grey,5,25.6
Hatchback,1000,1,Renault,Renault KWID,2022,625000,Petrol,Comprehensive,Automatic,999,67.06,White,5,22.3
Hatchback,96184,2,Honda,Honda Jazz,2016,560000,Petrol,Comprehensive,Automatic,1199,88.7,Orange,5,19.0
Hatchback,87780,1,Hyundai,Hyundai i10,2014,335000,Petrol,Comprehensive,Manual,1086,68.05,Silver,5,19.81
Hatchback,118921,1,Hyundai,Hyundai i20,2015,445000,Petrol,Comprehensive,Manual,1197,81.83,White,5,18.6
SUV,73834,2,Ford,Ford Ecosport,2019,830000,Diesel,Comprehensive,Manual,1498,98.96,Red,5,23.0
SUV,20000,1,Mahindra,Mahindra Thar,2022,1789999,Diesel,Comprehensive,Automatic,2184,130.0,Black,4,23.0
Hatchback,38514,1,Maruti,Maruti Baleno,2016,630000,Petrol,Comprehensive,Manual,1197,83.1,Blue,5,21.4
Sedan,74401,2,Maruti,Maruti Swift Dzire,2016,527000,Petrol,Comprehensive,Manual,1197,88.5,Silver,5,22.41
SUV,40000,1,Hyundai,Hyundai Creta,2020,1320000,Petrol,Third Party insurance,Automatic,1353,138.12,Others,5,16.8
Hatchback,9000,1,Maruti,Maruti Swift,2022,860000,Petrol,Comprehensive,Manual,1197,88.5,Silver,5,22.38
SUV,50000,1,Hyundai,Hyundai Creta,2017,766000,Petrol,Third Party insurance,Manual,1591,121.3,Others,5,15.29
Sedan,40000,1,Maruti,Maruti Swift Dzire,2020,610000,Petrol,Third Party insurance,Manual,1197,88.5,Gray,5,22.41
Sedan,80000,3,Skoda,Skoda Rapid,2015,475000,Diesel,Third Party insurance,Automatic,1498,103.52,Others,5,21.66
Hatchback,82000,2,Hyundai,Hyundai Grand i10,2014,390000,Petrol,Third Party insurance,Manual,1197,82.0,White,5,18.9
Sedan,32947,1,Hyundai,Hyundai Aura,2020,680000,Petrol,Comprehensive,Automatic,1197,81.86,Grey,5,20.1
SUV,9000,1,Jeep,Jeep Meridian,2022,3150000,Diesel,Comprehensive,Manual,1956,172.35,Green,7,20.1
Sedan,25000,1,Hyundai,Hyundai Verna,2018,855000,Petrol,Comprehensive,Manual,1591,121.3,White,5,17.0
MUV,10000,1,Maruti,Maruti XL6,2022,1200000,Petrol,Third Party insurance,Manual,1462,103.2,Gray,6,19.01
Sedan,8413,1,Skoda,Skoda Slavia,2022,1786000,Petrol,Zero Dep,Manual,1498,147.52,Red,5,18.72
Hatchback,34460,1,Hyundai,Hyundai i20,2016,614000,Petrol,Comprehensive,Manual,1197,81.83,Red,5,18.6
Sedan,33886,1,Maruti,Maruti Swift Dzire,2010,340000,Petrol,Comprehensive,Manual,1298,85.8,Golden,5,17.5
Hatchback,57910,2,Hyundai,Hyundai i20 Active,2016,558000,Petrol,Third Party insurance,Manual,1197,81.86,Red,5,17.19
MUV,46233,2,Renault,Renault Triber,2020,650000,Petrol,Comprehensive,Manual,999,71.01,Blue,7,20.0
Sedan,60000,1,Honda,Honda City,2017,950000,Petrol,Comprehensive,Automatic,1498,119.35,Silver,5,18.3
Hatchback,48979,1,Maruti,Maruti Swift,2021,710000,Petrol,Third Party,Manual,1197,88.5,Red,5,22.38
SUV,42000,1,MG,MG Hector,2019,1700000,Petrol,Comprehensive,Automatic,1451,141.0,Red,5,13.96
SUV,106165,1,Ford,Ford Ecosport,2016,684000,Diesel,Comprehensive,Manual,1498,98.59,Silver,5,22.77
Hatchback,91261,1,Datsun,Datsun RediGO,2018,309000,Petrol,Third Party,Manual,799,53.64,Silver,5,22.7
Hatchback,36711,1,Maruti,Maruti Celerio,2018,500000,Petrol,Comprehensive,Manual,998,67.05,Blue,5,21.63
Sedan,9000,1,BMW,BMW 3 Series Gran Limousine,2021,5500000,Petrol,Comprehensive,Automatic,1998,254.79,Red,5,15.3
Hatchback,30428,0,Maruti,Maruti Baleno,2018,650000,Petrol,Third Party insurance,Manual,1197,83.1,Blue,5,21.4
Hatchback,49791,1,Renault,Renault KWID,2018,360000,Petrol,Comprehensive,Manual,999,67.0,Brown,5,23.01
SUV,40000,1,MG,MG Hector Plus,2021,1875000,Diesel,Third Party insurance,Manual,1956,167.67,Others,6,16.65
Sedan,40000,2,Hyundai,Hyundai Xcent,2014,450000,Petrol,Third Party insurance,Manual,1197,82.0,Others,5,19.1
Hatchback,50000,2,Maruti,Maruti Baleno,2018,660000,Petrol,Third Party insurance,Automatic,1197,83.1,Others,5,21.4
SUV,60000,1,Maruti,Maruti Vitara Brezza,2019,950000,Diesel,Third Party insurance,Manual,1248,88.5,Others,5,24.3
Sedan,60000,1,Volkswagen,Volkswagen Ameo,2017,500000,Petrol,Third Party insurance,Manual,1198,74.0,Others,5,17.0
SUV,70000,1,Ford,Ford Endeavour,2017,2390000,Diesel,Third Party insurance,Automatic,2198,158.0,Red,7,12.62
Hatchback,107158,2,Maruti,Maruti Wagon R,2014,361000,Petrol,Third Party insurance,Manual,998,67.04,Silver,5,20.51
Hatchback,90811,1,Hyundai,Hyundai Grand i10,2019,549000,Petrol,Third Party insurance,Manual,1197,81.86,Blue,5,18.9
Hatchback,76454,3,Ford,Ford Figo,2012,210000,Petrol,Comprehensive,Manual,1196,70.0,Black,5,15.6
Hatchback,57464,1,Maruti,Maruti Swift,2021,704000,Petrol,Third Party,Manual,1197,88.5,Silver,5,22.38
Sedan,95072,1,Honda,Honda Amaze,2019,729000,Petrol,Comprehensive,Manual,1199,88.76,Grey,5,19.5
Sedan,51789,1,Honda,Honda City,2014,700000,Petrol,Comprehensive,Automatic,1497,117.3,Silver,5,18.0
Hatchback,56028,2,Hyundai,Hyundai i20,2018,619000,Petrol,Third Party,Manual,1197,81.83,White,5,18.6
Sedan,60000,1,Honda,Honda City,2017,725000,Petrol,Third Party insurance,Manual,1497,117.3,Others,5,17.8
Hatchback,36460,1,Hyundai,Hyundai Grand i10 Nios,2020,621000,Petrol,Zero Dep,Manual,1197,81.86,Others,5,20.7
Sedan,103249,1,Honda,Honda Amaze,2020,685000,Petrol,Zero Dep,Manual,1199,88.76,Green,5,19.5
Sedan,45568,1,Honda,Honda City,2021,950000,Petrol,Third Party insurance,Manual,1498,119.35,Grey,5,18.6
SUV,130000,1,Ford,Ford Endeavour,2017,1850000,Diesel,Comprehensive,Automatic,2198,158.0,Maroon,7,12.62
SUV,60000,1,MG,MG Hector Plus,2021,1850000,Diesel,Third Party insurance,Manual,1956,167.67,Others,6,16.65
Sedan,100521,1,Skoda,Skoda Rapid,2013,409999,Diesel,Comprehensive,Manual,1598,103.5,White,5,20.5
Sedan,42709,1,Volkswagen,Volkswagen Ameo,2019,570000,Petrol,Comprehensive,Manual,999,75.0,Brown,5,19.44
SUV,150000,2,Mahindra,Mahindra TUV 300,2016,550000,Diesel,Third Party insurance,Manual,1493,100.0,Others,7,18.49
Sedan,100000,1,Honda,Honda City,2015,600000,Petrol,Third Party insurance,Manual,1497,117.3,Others,5,17.4
Sedan,120000,3,Volkswagen,Volkswagen Jetta,2009,225999,Diesel,Third Party insurance,Manual,1896,103.5636,Black,5,15.0
